delay_probability,risk_score,actual_delayed,risk_tier
0.17873798,17.9,0,Low Risk
0.06948126,6.9,0,Low Risk
0.112035535,11.2,0,Low Risk
0.07905365,7.9,0,Low Risk
0.080395006,8.0,0,Low Risk
0.19335346,19.3,0,Low Risk
0.15513025,15.5,0,Low Risk
0.15399832,15.4,0,Low Risk
0.014360283,1.4,0,Low Risk
0.042895634,4.3,0,Low Risk
0.12527426,12.5,0,Low Risk
0.1772177,17.7,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05163707,5.2,0,Low Risk
0.03363241,3.4,0,Low Risk
0.05163707,5.2,0,Low Risk
0.09463212,9.5,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.013162923,1.3,0,Low Risk
0.12926401,12.9,0,Low Risk
0.11430138,11.4,0,Low Risk
0.03680544,3.7,0,Low Risk
0.10036413,10.0,0,Low Risk
0.07984261,8.0,0,Low Risk
0.1291039,12.9,0,Low Risk
0.23321414,23.3,0,Low Risk
0.16845852,16.8,0,Low Risk
0.016828898,1.7,0,Low Risk
0.19419208,19.4,0,Low Risk
0.07910586,7.9,0,Low Risk
0.10751066,10.8,0,Low Risk
0.3903823,39.0,1,Medium Risk
0.012213976,1.2,0,Low Risk
0.0711544,7.1,0,Low Risk
0.07271663,7.3,0,Low Risk
0.20194419,20.2,0,Low Risk
0.034867775,3.5,0,Low Risk
0.034867775,3.5,0,Low Risk
0.24291779,24.3,0,Low Risk
0.06133276,6.1,0,Low Risk
0.025981445,2.6,0,Low Risk
0.13762687,13.8,0,Low Risk
0.03426297,3.4,0,Low Risk
0.17787215,17.8,0,Low Risk
0.0688163,6.9,0,Low Risk
0.04394563,4.4,0,Low Risk
0.07552123,7.6,0,Low Risk
0.048982885,4.9,0,Low Risk
0.057693314,5.8,0,Low Risk
0.19443586,19.4,0,Low Risk
0.19443586,19.4,0,Low Risk
0.31062162,31.1,0,Medium Risk
0.0775679,7.8,0,Low Risk
0.22019406,22.0,1,Low Risk
0.13451794,13.5,0,Low Risk
0.040917907,4.1,0,Low Risk
0.17338821,17.3,0,Low Risk
0.07582506,7.6,0,Low Risk
0.050511435,5.1,0,Low Risk
0.08254658,8.3,0,Low Risk
0.08131885,8.1,0,Low Risk
0.06686691,6.7,0,Low Risk
0.10351214,10.4,0,Low Risk
0.18828447,18.8,0,Low Risk
0.089409575,8.9,0,Low Risk
0.108868465,10.9,0,Low Risk
0.056195565,5.6,0,Low Risk
0.056195565,5.6,0,Low Risk
0.163205,16.3,0,Low Risk
0.3162589,31.6,0,Medium Risk
0.042870447,4.3,0,Low Risk
0.19129987,19.1,0,Low Risk
0.037975468,3.8,0,Low Risk
0.16528334,16.5,0,Low Risk
0.12660256,12.7,0,Low Risk
0.05632359,5.6,0,Low Risk
0.13070619,13.1,0,Low Risk
0.37203804,37.2,0,Medium Risk
0.122582145,12.3,0,Low Risk
0.15745717,15.7,0,Low Risk
0.12655017,12.7,0,Low Risk
0.13766335,13.8,0,Low Risk
0.36202076,36.2,0,Medium Risk
0.08737424,8.7,0,Low Risk
0.12091822,12.1,0,Low Risk
0.114667006,11.5,0,Low Risk
0.12840123,12.8,0,Low Risk
0.023344802,2.3,0,Low Risk
0.22758953,22.8,0,Low Risk
0.09155402,9.2,0,Low Risk
0.09155402,9.2,0,Low Risk
0.09155402,9.2,0,Low Risk
0.05631879,5.6,0,Low Risk
0.111664645,11.2,0,Low Risk
0.14563686,14.6,0,Low Risk
0.114181526,11.4,0,Low Risk
0.114181526,11.4,0,Low Risk
0.114181526,11.4,0,Low Risk
0.19651182,19.7,0,Low Risk
0.017145198,1.7,0,Low Risk
0.054401908,5.4,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.193632,19.4,0,Low Risk
0.059723705,6.0,0,Low Risk
0.035365634,3.5,0,Low Risk
0.03929181,3.9,0,Low Risk
0.11813981,11.8,0,Low Risk
0.07435538,7.4,0,Low Risk
0.046668302,4.7,1,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.21111333,21.1,0,Low Risk
0.13909212,13.9,0,Low Risk
0.17271462,17.3,0,Low Risk
0.28318724,28.3,0,Low Risk
0.07754129,7.8,0,Low Risk
0.105660096,10.6,0,Low Risk
0.100401,10.0,0,Low Risk
0.119062304,11.9,0,Low Risk
0.055471424,5.5,0,Low Risk
0.15238526,15.2,0,Low Risk
0.12056968,12.1,0,Low Risk
0.13899107,13.9,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.108290285,10.8,0,Low Risk
0.16911995,16.9,0,Low Risk
0.050456613,5.0,0,Low Risk
0.11205812,11.2,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.18425168,18.4,0,Low Risk
0.039079294,3.9,0,Low Risk
0.08782761,8.8,0,Low Risk
0.07785347,7.8,0,Low Risk
0.11073664,11.1,0,Low Risk
0.112035535,11.2,0,Low Risk
0.09833114,9.8,0,Low Risk
0.29395443,29.4,0,Low Risk
0.2860461,28.6,0,Low Risk
0.19096377,19.1,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.13490257,13.5,0,Low Risk
0.057533972,5.8,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.03665988,3.7,0,Low Risk
0.06757796,6.8,0,Low Risk
0.03680544,3.7,0,Low Risk
0.03680544,3.7,0,Low Risk
0.14101444,14.1,0,Low Risk
0.09154504,9.2,0,Low Risk
0.10036413,10.0,0,Low Risk
0.10131674,10.1,0,Low Risk
0.08848433,8.8,0,Low Risk
0.09097959,9.1,0,Low Risk
0.11459158,11.5,0,Low Risk
0.016731542,1.7,0,Low Risk
0.46933302,46.9,1,Medium Risk
0.06973787,7.0,0,Low Risk
0.06071634,6.1,0,Low Risk
0.22615343,22.6,0,Low Risk
0.12181028,12.2,0,Low Risk
0.04241176,4.2,0,Low Risk
0.034867775,3.5,0,Low Risk
0.09813635,9.8,0,Low Risk
0.1481504,14.8,0,Low Risk
0.1324102,13.2,0,Low Risk
0.15919136,15.9,0,Low Risk
0.04849904,4.8,0,Low Risk
0.04717468,4.7,0,Low Risk
0.08254658,8.3,0,Low Risk
0.08254658,8.3,0,Low Risk
0.19651182,19.7,0,Low Risk
0.19651182,19.7,0,Low Risk
0.20087744,20.1,0,Low Risk
0.16327068,16.3,0,Low Risk
0.19651182,19.7,0,Low Risk
0.19651182,19.7,0,Low Risk
0.11514594,11.5,0,Low Risk
0.07617521,7.6,0,Low Risk
0.09839711,9.8,0,Low Risk
0.18111975,18.1,0,Low Risk
0.062212218,6.2,0,Low Risk
0.049496535,4.9,0,Low Risk
0.16785146,16.8,0,Low Risk
0.25719225,25.7,0,Low Risk
0.48892492,48.9,1,Medium Risk
0.33429292,33.4,0,Medium Risk
0.065386705,6.5,0,Low Risk
0.08254658,8.3,0,Low Risk
0.025483964,2.5,0,Low Risk
0.2616483,26.2,0,Low Risk
0.08545429,8.5,0,Low Risk
0.08281366,8.3,0,Low Risk
0.10938102,10.9,0,Low Risk
0.44845676,44.8,1,Medium Risk
0.078380905,7.8,0,Low Risk
0.049077954,4.9,0,Low Risk
0.056195565,5.6,0,Low Risk
0.056195565,5.6,0,Low Risk
0.056195565,5.6,0,Low Risk
0.2081693,20.8,0,Low Risk
0.17229615,17.2,0,Low Risk
0.21088085,21.1,0,Low Risk
0.39065167,39.1,0,Medium Risk
0.12660256,12.7,0,Low Risk
0.12660256,12.7,0,Low Risk
0.12660256,12.7,0,Low Risk
0.12660256,12.7,0,Low Risk
0.046622884,4.7,0,Low Risk
0.16852608,16.9,0,Low Risk
0.23377499,23.4,0,Low Risk
0.25714523,25.7,0,Low Risk
0.059814762,6.0,0,Low Risk
0.12964214,13.0,0,Low Risk
0.20136426,20.1,0,Low Risk
0.351319,35.1,1,Medium Risk
0.036775243,3.7,0,Low Risk
0.15408583,15.4,0,Low Risk
0.15525849,15.5,0,Low Risk
0.09155402,9.2,0,Low Risk
0.09155402,9.2,0,Low Risk
0.040356,4.0,0,Low Risk
0.06297821,6.3,0,Low Risk
0.07341594,7.3,0,Low Risk
0.018607024,1.9,0,Low Risk
0.05026445,5.0,0,Low Risk
0.020442786,2.0,0,Low Risk
0.08016823,8.0,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.27536073,27.5,0,Low Risk
0.23271632,23.3,0,Low Risk
0.07440291,7.4,0,Low Risk
0.046668302,4.7,0,Low Risk
0.18971068,19.0,0,Low Risk
0.02175983,2.2,0,Low Risk
0.13451965,13.5,0,Low Risk
0.22372714,22.4,0,Low Risk
0.11724243,11.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.10938102,10.9,0,Low Risk
0.24369349,24.4,0,Low Risk
0.11548456,11.5,0,Low Risk
0.2593466,25.9,0,Low Risk
0.11147465,11.1,0,Low Risk
0.15473053,15.5,0,Low Risk
0.12726006,12.7,0,Low Risk
0.074876726,7.5,0,Low Risk
0.037008114,3.7,0,Low Risk
0.024065599,2.4,0,Low Risk
0.10605918,10.6,0,Low Risk
0.046668302,4.7,0,Low Risk
0.13224046,13.2,0,Low Risk
0.21341145,21.3,0,Low Risk
0.09782663,9.8,0,Low Risk
0.10821557,10.8,0,Low Risk
0.078742355,7.9,0,Low Risk
0.10704459,10.7,0,Low Risk
0.11813981,11.8,0,Low Risk
0.13788338,13.8,0,Low Risk
0.12527426,12.5,0,Low Risk
0.27832633,27.8,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.03771564,3.8,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05163707,5.2,0,Low Risk
0.05163707,5.2,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05163707,5.2,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.046668302,4.7,0,Low Risk
0.051174253,5.1,0,Low Risk
0.10036413,10.0,0,Low Risk
0.30911747,30.9,1,Medium Risk
0.007751373,0.8,0,Low Risk
0.07816665,7.8,0,Low Risk
0.06583266,6.6,0,Low Risk
0.08314415,8.3,0,Low Risk
0.062165488,6.2,0,Low Risk
0.13204993,13.2,0,Low Risk
0.1308529,13.1,0,Low Risk
0.109199114,10.9,0,Low Risk
0.07479602,7.5,0,Low Risk
0.034867775,3.5,0,Low Risk
0.034867775,3.5,0,Low Risk
0.034867775,3.5,0,Low Risk
0.034867775,3.5,0,Low Risk
0.034867775,3.5,0,Low Risk
0.03509545,3.5,0,Low Risk
0.028899573,2.9,0,Low Risk
0.18363088,18.4,0,Low Risk
0.054108277,5.4,0,Low Risk
0.21255115,21.3,0,Low Risk
0.6062389,60.6,1,High Risk
0.055211063,5.5,0,Low Risk
0.18870693,18.9,0,Low Risk
0.14621744,14.6,0,Low Risk
0.37960824,38.0,1,Medium Risk
0.08254658,8.3,0,Low Risk
0.1193646,11.9,0,Low Risk
0.37409866,37.4,0,Medium Risk
0.09542411,9.5,0,Low Risk
0.07593159,7.6,0,Low Risk
0.13500287,13.5,0,Low Risk
0.26114842,26.1,0,Low Risk
0.30472285,30.5,0,Medium Risk
0.056195565,5.6,0,Low Risk
0.056195565,5.6,0,Low Risk
0.31904325,31.9,0,Medium Risk
0.021950193,2.2,0,Low Risk
0.40252754,40.3,1,Medium Risk
0.155864,15.6,0,Low Risk
0.12660256,12.7,0,Low Risk
0.12660256,12.7,0,Low Risk
0.12660256,12.7,0,Low Risk
0.13879935,13.9,0,Low Risk
0.059814762,6.0,0,Low Risk
0.13469265,13.5,0,Low Risk
0.41075605,41.1,1,Medium Risk
0.11441343,11.4,0,Low Risk
0.18068327,18.1,0,Low Risk
0.10558006,10.6,0,Low Risk
0.047613025,4.8,0,Low Risk
0.027846713,2.8,0,Low Risk
0.08885453,8.9,0,Low Risk
0.09155402,9.2,0,Low Risk
0.08131885,8.1,0,Low Risk
0.06218086,6.2,0,Low Risk
0.08079806,8.1,0,Low Risk
0.17273298,17.3,0,Low Risk
0.120545805,12.1,0,Low Risk
0.16183142,16.2,0,Low Risk
0.07827829,7.8,0,Low Risk
0.04090365,4.1,0,Low Risk
0.06365585,6.4,0,Low Risk
0.028525697,2.9,0,Low Risk
0.0909019,9.1,0,Low Risk
0.046668302,4.7,0,Low Risk
0.2386366,23.9,0,Low Risk
0.046668302,4.7,0,Low Risk
0.1357218,13.6,0,Low Risk
0.039189477,3.9,0,Low Risk
0.30417934,30.4,0,Medium Risk
0.08001165,8.0,0,Low Risk
0.02016055,2.0,0,Low Risk
0.163848,16.4,0,Low Risk
0.105250545,10.5,0,Low Risk
0.27865493,27.9,0,Low Risk
0.11724243,11.7,0,Low Risk
0.11952093,12.0,0,Low Risk
0.13387552,13.4,0,Low Risk
0.19595638,19.6,0,Low Risk
0.014532158,1.5,0,Low Risk
0.111045,11.1,0,Low Risk
0.05480609,5.5,0,Low Risk
0.046668302,4.7,0,Low Risk
0.097565144,9.8,0,Low Risk
0.09229287,9.2,0,Low Risk
0.046357945,4.6,0,Low Risk
0.13894175,13.9,0,Low Risk
0.112035535,11.2,0,Low Risk
0.24321297,24.3,0,Low Risk
0.12857331,12.9,0,Low Risk
0.11744048,11.7,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.058524404,5.9,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05163707,5.2,0,Low Risk
0.05318285,5.3,0,Low Risk
0.058598258,5.9,0,Low Risk
0.07156891,7.2,0,Low Risk
0.046668302,4.7,0,Low Risk
0.10036413,10.0,0,Low Risk
0.026378471,2.6,0,Low Risk
0.27449462,27.4,0,Low Risk
0.25262472,25.3,0,Low Risk
0.630328,63.0,1,High Risk
0.22131166,22.1,0,Low Risk
0.15325926,15.3,0,Low Risk
0.034867775,3.5,0,Low Risk
0.034867775,3.5,0,Low Risk
0.033517256,3.4,0,Low Risk
0.06271775,6.3,0,Low Risk
0.019548504,2.0,0,Low Risk
0.043561414,4.4,0,Low Risk
0.042481683,4.2,0,Low Risk
0.19651182,19.7,0,Low Risk
0.13015057,13.0,0,Low Risk
0.21894868,21.9,0,Low Risk
0.051178224,5.1,0,Low Risk
0.19670348,19.7,0,Low Risk
0.19542779,19.5,0,Low Risk
0.078520656,7.9,0,Low Risk
0.24762477,24.8,1,Low Risk
0.09839711,9.8,0,Low Risk
0.09839711,9.8,0,Low Risk
0.032565743,3.3,0,Low Risk
0.05664748,5.7,0,Low Risk
0.046265047,4.6,0,Low Risk
0.19651182,19.7,0,Low Risk
0.0902866,9.0,0,Low Risk
0.29910928,29.9,0,Low Risk
0.18685155,18.7,0,Low Risk
0.20009439,20.0,0,Low Risk
0.7143104,71.4,1,High Risk
0.05162473,5.2,0,Low Risk
0.36829454,36.8,0,Medium Risk
0.06532419,6.5,0,Low Risk
0.28145686,28.1,0,Low Risk
0.2644602,26.4,0,Low Risk
0.056195565,5.6,0,Low Risk
0.056195565,5.6,0,Low Risk
0.056195565,5.6,0,Low Risk
0.056195565,5.6,0,Low Risk
0.12273218,12.3,0,Low Risk
0.23836462,23.8,0,Low Risk
0.15324542,15.3,0,Low Risk
0.052420963,5.2,0,Low Risk
0.12660256,12.7,0,Low Risk
0.063124254,6.3,0,Low Risk
0.21141677,21.1,0,Low Risk
0.266758,26.7,0,Low Risk
0.28825077,28.8,0,Low Risk
0.40120143,40.1,0,Medium Risk
0.28089312,28.1,0,Low Risk
0.19599989,19.6,0,Low Risk
0.027263911,2.7,0,Low Risk
0.28430066,28.4,0,Low Risk
0.062432237,6.2,0,Low Risk
0.13855322,13.9,0,Low Risk
0.1748465,17.5,0,Low Risk
0.100055784,10.0,0,Low Risk
0.09155402,9.2,0,Low Risk
0.09155402,9.2,0,Low Risk
0.09155402,9.2,0,Low Risk
0.09155402,9.2,0,Low Risk
0.03349628,3.3,0,Low Risk
0.11708744,11.7,0,Low Risk
0.27998856,28.0,0,Low Risk
0.114181526,11.4,0,Low Risk
0.02414608,2.4,0,Low Risk
0.07195185,7.2,0,Low Risk
0.2457416,24.6,0,Low Risk
0.060901426,6.1,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.21070099,21.1,0,Low Risk
0.13748692,13.7,0,Low Risk
0.10275817,10.3,0,Low Risk
0.14604017,14.6,0,Low Risk
0.14072695,14.1,0,Low Risk
0.08478736,8.5,0,Low Risk
0.061673846,6.2,0,Low Risk
0.020647792,2.1,0,Low Risk
0.046668302,4.7,0,Low Risk
0.18859327,18.9,0,Low Risk
0.15671523,15.7,0,Low Risk
0.064129554,6.4,0,Low Risk
0.10231038,10.2,0,Low Risk
0.022047095,2.2,0,Low Risk
0.13387552,13.4,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.24117991,24.1,0,Low Risk
0.24847902,24.8,0,Low Risk
0.069341764,6.9,0,Low Risk
0.11343268,11.3,0,Low Risk
0.09309787,9.3,0,Low Risk
0.0909019,9.1,0,Low Risk
0.13704751,13.7,0,Low Risk
0.10514291,10.5,0,Low Risk
0.1393498,13.9,0,Low Risk
0.10605918,10.6,0,Low Risk
0.046668302,4.7,0,Low Risk
0.040896136,4.1,0,Low Risk
0.045987815,4.6,0,Low Risk
0.12025442,12.0,0,Low Risk
0.11813981,11.8,0,Low Risk
0.14938056,14.9,0,Low Risk
0.23750995,23.8,0,Low Risk
0.19912848,19.9,0,Low Risk
0.051410522,5.1,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05163707,5.2,1,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.1874295,18.7,0,Low Risk
0.07156891,7.2,0,Low Risk
0.10036413,10.0,0,Low Risk
0.10036413,10.0,0,Low Risk
0.10036413,10.0,0,Low Risk
0.10036413,10.0,0,Low Risk
0.10036413,10.0,1,Low Risk
0.21124244,21.1,0,Low Risk
0.13932122,13.9,0,Low Risk
0.17687248,17.7,0,Low Risk
0.1308529,13.1,0,Low Risk
0.058720987,5.9,0,Low Risk
0.065749295,6.6,0,Low Risk
0.061844822,6.2,0,Low Risk
0.06455304,6.5,0,Low Risk
0.20194419,20.2,1,Low Risk
0.034867775,3.5,0,Low Risk
0.16594973,16.6,0,Low Risk
0.1011818,10.1,0,Low Risk
0.066297516,6.6,0,Low Risk
0.054979514,5.5,0,Low Risk
0.05941611,5.9,0,Low Risk
0.21302488,21.3,0,Low Risk
0.18668918,18.7,0,Low Risk
0.025035145,2.5,0,Low Risk
0.25449014,25.4,0,Low Risk
0.12953083,13.0,0,Low Risk
0.09839711,9.8,0,Low Risk
0.09839711,9.8,0,Low Risk
0.025490047,2.5,0,Low Risk
0.16121475,16.1,0,Low Risk
0.16446313,16.4,0,Low Risk
0.08621791,8.6,0,Low Risk
0.08465878,8.5,0,Low Risk
0.07316681,7.3,0,Low Risk
0.17022927,17.0,0,Low Risk
0.05906053,5.9,0,Low Risk
0.089542106,9.0,0,Low Risk
0.5508155,55.1,1,Medium Risk
0.1712078,17.1,0,Low Risk
0.019964127,2.0,0,Low Risk
0.031553403,3.2,0,Low Risk
0.1815645,18.2,0,Low Risk
0.056195565,5.6,0,Low Risk
0.056195565,5.6,0,Low Risk
0.01944924,1.9,0,Low Risk
0.02272329,2.3,0,Low Risk
0.19189776,19.2,0,Low Risk
0.35616177,35.6,0,Medium Risk
0.12610382,12.6,0,Low Risk
0.12660256,12.7,0,Low Risk
0.12660256,12.7,0,Low Risk
0.12660256,12.7,0,Low Risk
0.033884373,3.4,0,Low Risk
0.15407561,15.4,0,Low Risk
0.13879785,13.9,0,Low Risk
0.13624468,13.6,0,Low Risk
0.26957417,27.0,0,Low Risk
0.15059286,15.1,0,Low Risk
0.24204972,24.2,0,Low Risk
0.02758864,2.8,0,Low Risk
0.09155402,9.2,0,Low Risk
0.09155402,9.2,0,Low Risk
0.017700315,1.8,0,Low Risk
0.10139925,10.1,0,Low Risk
0.114181526,11.4,0,Low Risk
0.114181526,11.4,0,Low Risk
0.18511796,18.5,0,Low Risk
0.18511796,18.5,0,Low Risk
0.09282181,9.3,0,Low Risk
0.0909019,9.1,0,Low Risk
0.047699004,4.8,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.23153946,23.2,0,Low Risk
0.053015947,5.3,0,Low Risk
0.24945343,24.9,0,Low Risk
0.16596298,16.6,0,Low Risk
0.041368395,4.1,0,Low Risk
0.046668302,4.7,0,Low Risk
0.11813981,11.8,0,Low Risk
0.046668302,4.7,0,Low Risk
0.02096059,2.1,0,Low Risk
0.37120968,37.1,0,Medium Risk
0.1387361,13.9,0,Low Risk
0.24976076,25.0,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.12656769,12.7,0,Low Risk
0.16772592,16.8,0,Low Risk
0.01900848,1.9,0,Low Risk
0.0909019,9.1,0,Low Risk
0.10605918,10.6,0,Low Risk
0.17337132,17.3,0,Low Risk
0.17337132,17.3,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.046668302,4.7,0,Low Risk
0.11813981,11.8,0,Low Risk
0.096173875,9.6,0,Low Risk
0.13953312,14.0,0,Low Risk
0.27450466,27.5,0,Low Risk
0.23550503,23.6,0,Low Risk
0.42882103,42.9,0,Medium Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.057533972,5.8,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.05318285,5.3,0,Low Risk
0.046668302,4.7,0,Low Risk
0.081184424,8.1,0,Low Risk
0.09463212,9.5,0,Low Risk
0.10036413,10.0,0,Low Risk
0.1308529,13.1,0,Low Risk
0.056527648,5.7,0,Low Risk
0.054742027,5.5,0,Low Risk
0.04779812,4.8,0,Low Risk
0.065143056,6.5,0,Low Risk
0.061550483,6.2,0,Low Risk
